transaction_id,account_id,card_number,timestamp,amount,merchant_id,merchant_name,category,device_id,ip_address,distance_from_home_km,is_fraud,fraud_type,fraud_score,latitude,longitude,city,country
TXN-054130F5B0AA,ACC-100115,2718665240415744,2026-08-25T16:42:02Z,44.59,MERCH-50014,Humphrey-Baker (Restaurants),Restaurants,DEV-2A959678,174.43.71.161,1992.31,0,NORMAL,0.0,32.778651,-96.776845,Dallas,US
TXN-68EB832D4718,ACC-100080,30005411998670,2026-08-25T16:42:02Z,32.21,MERCH-50042,"Ortiz, Smith and Deleon (Grocery)",Grocery,DEV-37E67B4A,177.80.14.221,2553.8,0,NORMAL,0.0,40.810718,-73.942959,New York,US
TXN-B694518E8CB9,ACC-100121,4453017426841459337,2026-08-25T16:42:02Z,37.3,MERCH-50004,Harris-Carson (Grocery),Grocery,DEV-79D9A08F,27.244.188.21,2356.39,0,NORMAL,0.0,30.246413,-97.757662,Austin,US
TXN-EEE18530BC35,ACC-100033,376464170805315,2026-08-25T03:17:36Z,1648.64,MERCH-50035,Watson PLC (Retail),Retail,DEV-F8A14CBE,183.233.190.172,2838.62,1,ODD_HOURS,0.0,47.543788,-122.273468,Seattle,US
TXN-E096EEDC29B3,ACC-100170,180086661889247,2026-08-25T03:29:32Z,1048.64,MERCH-50048,Byrd-Holloway (Restaurants),Restaurants,DEV-698173E6,212.248.217.118,1797.62,1,ODD_HOURS,0.0,47.662647,-122.307953,Seattle,US
TXN-B7B06B3C9298,ACC-100129,180066246287331,2026-08-25T16:42:02Z,80.55,MERCH-50013,"Chan, Floyd and Dillon (Restaurants)",Restaurants,DEV-032C8AFA,160.236.7.19,3811.24,0,NORMAL,0.0,39.998397,-75.229082,Philadelphia,US
TXN-BD3FEA40FA81,ACC-100089,3579010432898611,2026-08-25T16:42:02Z,56.39,MERCH-50035,Watson PLC (Retail),Retail,DEV-3AFA331F,79.66.151.195,4388.81,0,NORMAL,0.0,47.556077,-122.259662,Seattle,US
TXN-5A7EB98D8A52,ACC-100196,4431069872050618,2026-08-25T16:42:02Z,101.83,MERCH-50039,Johnson-Williams (Gambling),Gambling,DEV-DC5E104C,140.199.120.215,1860.97,0,NORMAL,0.0,32.765891,-117.177932,San Diego,US
TXN-B32B45926C6F,ACC-100168,3543898364037619,2026-08-25T16:42:02Z,75.24,MERCH-50044,"Owen, Walker and Franklin (Restaurants)",Restaurants,DEV-F61FA644,64.197.180.181,583.54,0,NORMAL,0.0,34.016097,-118.306374,Los Angeles,US
TXN-7581E59356FF,ACC-100001,4940265423510,2026-08-25T16:42:02Z,36.32,MERCH-50011,Hernandez PLC (Retail),Retail,DEV-3EE74598,168.135.111.71,8.51,0,NORMAL,0.0,34.095517,-118.291571,Los Angeles,US
TXN-E1060056CE3E,ACC-100036,375185067165726,2026-08-25T16:42:02Z,53.65,MERCH-50047,Stevens-Robinson (Gambling),Gambling,DEV-820192BC,195.20.144.122,3695.5,0,NORMAL,0.0,33.437893,-112.088375,Phoenix,US
TXN-5FA0C483BB3B,ACC-100087,4758181412478261370,2026-08-25T16:42:02Z,99.92,MERCH-50010,"Matthews, Harrington and Rodriguez (Travel)",Travel,DEV-C4B145E4,57.95.128.114,2584.39,0,NORMAL,0.0,42.417641,-71.052894,Boston,US
TXN-F0D521A8317C,ACC-100145,3599371240659652,2026-08-25T16:42:02Z,66.21,MERCH-50038,Curry-Barker (Luxury),Luxury,DEV-18D91DAC,173.22.200.109,5.9,0,NORMAL,0.0,41.886988,-87.583535,Chicago,US
TXN-1C5FE583E0A9,ACC-100069,36118367365762,2026-08-25T16:42:02Z,154.87,MERCH-50028,Jones Ltd (Travel),Travel,DEV-952FBB91,48.80.29.75,2704.25,0,NORMAL,0.0,32.705814,-96.835177,Dallas,US
TXN-8950055ACECC,ACC-100069,36118367365762,2026-08-25T16:42:02Z,147.36,MERCH-50013,"Chan, Floyd and Dillon (Restaurants)",Restaurants,DEV-952FBB91,48.80.29.75,3809.1,0,NORMAL,0.0,39.990439,-75.235834,Philadelphia,US
TXN-ECF276EC570E,ACC-100124,3564039106518012,2026-08-25T16:42:02Z,73.1,MERCH-50033,Hill Group (Retail),Retail,DEV-25DEBD90,43.132.208.99,3820.18,0,NORMAL,0.0,47.6342,-122.320932,Seattle,US
TXN-94D952D91295,ACC-100153,213155371478590,2026-08-25T16:42:02Z,93.49,MERCH-50003,Henderson Ltd (Retail),Retail,DEV-364B153D,86.134.235.195,4118.8,0,NORMAL,0.0,25.767709,-80.137034,Miami,US
TXN-02152515CA19,ACC-100083,3551925462914867,2026-08-25T16:42:02Z,2568.75,RISK-9132,HighRisk-Crypto-Gateway,Crypto,DEV-8F99C1C1,69.251.34.39,2953.47,1,HIGH_RISK_MERCHANT,0.0,41.938334,-87.651263,Chicago,US
TXN-D8B31629136D,ACC-100180,374313291212772,2026-08-25T16:42:02Z,17.27,MERCH-50014,Humphrey-Baker (Restaurants),Restaurants,DEV-46E8894D,45.73.233.114,1785.73,0,NORMAL,0.0,32.752349,-96.754876,Dallas,US
